epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.055,2.45106,4.35679,1.71101,0.54911,0.28655,0.26555,0.11181,2.18233,3.01123,1.40399,0.0700779,0.00332468,0.00332468
2,363.931,2.22246,2.43973,1.47568,0.48338,0.16578,0.15049,0.06175,2.49416,2.99247,1.63017,0.040012,0.00659209,0.00659209
3,544.781,2.26495,2.46517,1.50132,0.62405,0.15438,0.15511,0.06195,2.47989,3.42662,1.7619,0.00988009,0.00979351,0.00979351
4,724.818,2.42456,2.58524,1.57651,0.28185,0.25198,0.2183,0.08219,2.28536,3.13424,1.5174,0.009703,0.009703,0.009703
5,902.847,2.36741,2.39533,1.57204,0.46718,0.05512,0.04026,0.01181,3.06523,7.55862,2.29151,0.009604,0.009604,0.009604
6,1091.41,2.35379,2.32291,1.55809,0.38446,0.29444,0.28774,0.1165,2.19553,2.3395,1.46356,0.009505,0.009505,0.009505
7,1283.78,2.3187,2.1713,1.52659,0.54696,0.33263,0.31357,0.12955,2.14696,2.1904,1.44635,0.009406,0.009406,0.009406
8,1479.68,2.22885,2.08447,1.49134,0.53297,0.28791,0.31557,0.13825,2.15062,2.17746,1.4559,0.009307,0.009307,0.009307
9,1670.1,2.18124,2.04564,1.4715,0.39195,0.35131,0.32395,0.13549,2.16904,2.04739,1.45513,0.009208,0.009208,0.009208
10,1861.49,2.14927,1.91376,1.4549,0.69172,0.34512,0.39919,0.16798,2.06808,2.00976,1.39992,0.009109,0.009109,0.009109
11,2047.86,2.12977,1.9423,1.44681,0.50715,0.33062,0.35381,0.15981,2.13215,2.02301,1.41819,0.00901,0.00901,0.00901
12,2231.72,2.10387,1.91408,1.40763,0.51217,0.38102,0.381,0.15842,2.01262,2.21321,1.37651,0.008911,0.008911,0.008911
13,2414.69,2.07811,1.84271,1.3914,0.54791,0.35624,0.38496,0.17248,1.98624,1.94227,1.36525,0.008812,0.008812,0.008812
14,2606.9,2.08135,1.83564,1.43604,0.52541,0.41449,0.40434,0.17552,1.95924,1.86214,1.39371,0.008713,0.008713,0.008713
15,2795.72,2.06192,1.76686,1.39589,0.56848,0.21988,0.27313,0.11493,2.18781,3.46203,1.48839,0.008614,0.008614,0.008614
16,2981.75,2.03616,1.75324,1.39468,0.52215,0.44255,0.45182,0.20829,1.90177,1.72594,1.313,0.008515,0.008515,0.008515
17,3172.98,2.00925,1.73074,1.38644,0.52829,0.44042,0.46371,0.22365,1.8552,1.78426,1.28915,0.008416,0.008416,0.008416
18,3365.63,1.97977,1.70027,1.36729,0.67824,0.43224,0.474,0.2266,1.8897,1.64833,1.3029,0.008317,0.008317,0.008317
19,3555.53,1.96008,1.70496,1.36334,0.47943,0.37417,0.36227,0.16847,2.01565,2.38476,1.41802,0.008218,0.008218,0.008218
20,3747.77,1.9429,1.68206,1.33471,0.57385,0.43138,0.46136,0.22503,1.84824,1.74963,1.27726,0.008119,0.008119,0.008119
21,3940.56,1.95322,1.64359,1.33944,0.56071,0.47088,0.49613,0.24712,1.82273,1.60721,1.25601,0.00802,0.00802,0.00802
22,4131.1,1.94358,1.65327,1.35873,0.46857,0.30053,0.3106,0.14199,2.12378,2.69414,1.46924,0.007921,0.007921,0.007921
23,4322.74,1.96171,1.65901,1.34193,0.61664,0.43507,0.4677,0.22449,1.83325,1.68181,1.27331,0.007822,0.007822,0.007822
24,4516.19,1.91918,1.62794,1.3273,0.64427,0.50599,0.54463,0.27269,1.72658,1.46962,1.22389,0.007723,0.007723,0.007723
25,4708.72,1.9024,1.57904,1.32046,0.63119,0.4919,0.52666,0.26334,1.7724,1.51822,1.22567,0.007624,0.007624,0.007624
26,4902.15,1.88681,1.53542,1.32332,0.63207,0.47611,0.51921,0.25153,1.7524,1.69943,1.22991,0.007525,0.007525,0.007525
27,5093.23,1.88311,1.5551,1.30849,0.60477,0.44978,0.48288,0.23153,1.79247,1.69411,1.26729,0.007426,0.007426,0.007426
28,5285.85,1.84933,1.49832,1.29028,0.67453,0.52151,0.57082,0.28541,1.74722,1.43459,1.21978,0.007327,0.007327,0.007327
29,5477.94,1.85059,1.50841,1.29731,0.65284,0.4934,0.54226,0.27834,1.72356,1.51672,1.2105,0.007228,0.007228,0.007228
30,5668.29,1.86214,1.529,1.28624,0.63419,0.48539,0.52804,0.26878,1.74399,1.52561,1.21043,0.007129,0.007129,0.007129
31,5862.05,1.83633,1.47499,1.2775,0.68455,0.52803,0.59452,0.30661,1.67778,1.3948,1.19164,0.00703,0.00703,0.00703
32,6053.7,1.83042,1.47526,1.28849,0.68645,0.49522,0.57464,0.30301,1.6919,1.46807,1.19321,0.006931,0.006931,0.006931
33,6245.71,1.82566,1.43404,1.27056,0.6644,0.52282,0.57923,0.29982,1.67272,1.40072,1.17519,0.006832,0.006832,0.006832
34,6437.24,1.80398,1.43345,1.26951,0.71734,0.52617,0.5958,0.30896,1.66066,1.35704,1.16225,0.006733,0.006733,0.006733
